to,from,cases,date,male,female,kuwaiti,non-kuwaiti,local_check
Kuwait,Iran,5,2/24/2020,,2,2,,
Kuwait,Iran,4,2/25/2020,3,1,4,,
Kuwait,Iran,17,2/26/2020,1,1,17,,
Kuwait,Iran,17,2/27/2020,,,17,,
Kuwait,Iran,2,2/28/2020,,,2,,
Kuwait,,,2/29/2020,,,,,
Kuwait,Iran,1,3/1/2020,,,1,,
Kuwait,Iran,10,3/2/2020,,,10,,
Kuwait,,,3/3/2020,,,,,
Kuwait,,,3/4/2020,,,,,
Kuwait,Iran,2,3/5/2020,,,2,,
Kuwait,,,3/6/2020,,,,,
Kuwait,Iran,3,3/7/2020,,,3,,
Kuwait,Iran,2,3/8/2020,,1,2,,
Kuwait,Azerbaijan,1,3/8/2020,1,,,1,
Kuwait,Iran,1,3/9/2020,,,1,,
Kuwait,Egypt,2,3/10/2020,,,2,,
Kuwait,Iran,1,3/10/2020,,,,,
Kuwait,Azerbaijan,1,3/10/2020,,,1,,
Kuwait,Iran,1,3/11/2020,,1,1,,
Kuwait,Azerbaijan,2,3/11/2020,,,,2,
Kuwait,Iran,3,3/12/2020,,,3,,
Kuwait,Azerbaijan,5,3/12/2020,,,,5,
Kuwait,Iran,15,3/13/2020,,,15,,
Kuwait,United Kingdom,1,3/13/2020,1,,1,,
Kuwait,United States of America,1,3/13/2020,,1,1,,
Kuwait,Spain,1,3/13/2020,,1,,1,
Kuwait,Azerbaijan,2,3/13/2020,,,,2,
Kuwait,Azerbaijan,1,3/14/2020,,,,1,
Kuwait,United Kingdom,2,3/14/2020,,,2,,
Kuwait,France,1,3/14/2020,,1,1,,
Kuwait,Iran,1,3/15/2020,1,,1,,
Kuwait,United Kingdom,6,3/15/2020,,,6,,
Kuwait,France,1,3/15/2020,1,,1,,
Kuwait,Iran,1,3/16/2020,1,,1,,
Kuwait,United States of America,1,3/16/2020,1,,1,,
Kuwait,United Kingdom,7,3/16/2020,,,7,,
Kuwait,Qatar,1,3/16/2020,1,,1,,
Kuwait,Egypt,1,3/16/2020,1,,,1,
Kuwait,United Kingdom,7,3/17/2020,,,7,,
Kuwait,United Kingdom,10,3/18/2020,,,8,2,
Kuwait,Switzerland,1,3/18/2020,1,,1,,
Kuwait,,1,3/18/2020,,,1,,
Kuwait,United Kingdom,6,3/19/2020,,,5,1,
Kuwait,United Kingdom,10,3/20/2020,,,9,1,
Kuwait,Switzerland,1,3/20/2020,1,,1,,
Kuwait,United Arab Emirates,1,3/21/2020,1,,1,,
Kuwait,United Kingdom,12,3/21/2020,3,2,7,5,
Kuwait,Switzerland,3,3/21/2020,3,,1,2,
Kuwait,Egypt,1,3/21/2020,1,,1,,
Kuwait,,12,3/22/2020,,1,1,,
Kuwait,United Arab Emirates,1,3/23/2020,,,,,
Kuwait,United Kingdom,2,3/24/2020,,,,2,
Kuwait,Saudi Arabia,1,3/25/2020,1,,1,,
Kuwait,United Kingdom,1,3/25/2020,,1,1,,
Kuwait,,2,3/25/2020,,,,2,
Kuwait,Saudi Arabia,2,3/26/2020,,,2,,
Kuwait,Egypt,4,3/26/2020,,,4,,
Kuwait,France,1,3/26/2020,,,,,
Kuwait,,1,3/26/2020,1,,1,,
Kuwait,Azerbaijan,2,3/26/2020,2,,1,1,
Kuwait,United Kingdom,1,3/26/2020,1,,1,,
Kuwait,,1,3/26/2020,1,,,1,
Kuwait,,1,3/26/2020,1,,,1,
Kuwait,United States of America,1,3/27/2020,,,1,,
Kuwait,Saudi Arabia,1,3/27/2020,1,,1,,
Kuwait,Egypt,1,3/27/2020,1,,1,,
Kuwait,France,1,3/27/2020,1,,1,,
Kuwait,Jordan,1,3/27/2020,1,,,1,
Kuwait,,9,3/27/2020,1,1,7,2,
Kuwait,,3,3/27/2020,1,,,3,3
Kuwait,United Kingdom,3,3/28/2020,,,3,,
Kuwait,Saudi Arabia,2,3/28/2020,,,2,,
Kuwait,France,1,3/28/2020,,1,1,,
Kuwait,United States of America,1,3/28/2020,,1,1,,
Kuwait,,1,3/28/2020,1,,,1,
Kuwait,,1,3/28/2020,,1,1,,
Kuwait,,1,3/28/2020,1,,,1,1
Kuwait,United Kingdom,7,3/29/2020,,1,6,1,
Kuwait,Saudi Arabia,1,3/29/2020,1,,1,,
Kuwait,,12,3/29/2020,,,,12,12
Kuwait,United Kingdom,1,3/30/2020,,1,1,,
Kuwait,Saudi Arabia,1,3/30/2020,,,,1,
Kuwait,,1,3/30/2020,,1,1,,
Kuwait,,7,3/30/2020,,,,7,
Kuwait,,1,3/30/2020,1,,,1,1
